Rank	Title	Score
60	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-henOVA (4 eps)Feb 1999 - Sep 1999280,110 members	8.7
61	Mushishi Zoku ShouTV (10 eps)Apr 2014 - Jun 2014305,589 membersManga StoreVolume 1$10.99Preview	8.69
62	Bleach: Sennen Kessen-hen - Ketsubetsu-tanTV (13 eps)Jul 2023 - Sep 2023301,085 members	8.69
63	Great Teacher OnizukaTV (43 eps)Jun 1999 - Sep 2000846,954 membersManga StoreVolume 1$10.99Preview	8.69
64	Mo Dao Zu Shi: Wanjie PianONA (12 eps)Aug 2021 - Oct 202183,486 members	8.68
65	Violet EvergardenTV (13 eps)Jan 2018 - Apr 20181,826,776 members	8.68
66	Tian Guan Cifu ErONA (12 eps)Oct 2023 - Jan 202448,428 members	8.67
67	Hajime no Ippo: New ChallengerTV (26 eps)Jan 2009 - Jul 2009294,643 members	8.67
68	Howl no Ugoku ShiroMovie (1 eps)Nov 2004 - Nov 20041,371,126 members	8.67
69	Haikyuu!! Movie: Gomisuteba no KessenMovie (1 eps)Feb 2024 - Feb 2024136,760 members	8.66
70	Mononoke HimeMovie (1 eps)Jul 1997 - Jul 19971,281,983 members	8.66
71	Mushoku Tensei: Isekai Ittara Honki Dasu Part 2TV (12 eps)Oct 2021 - Dec 2021973,835 members	8.66
72	Odd TaxiTV (13 eps)Apr 2021 - Jun 2021448,953 members	8.66
73	MushishiTV (26 eps)Oct 2005 - Jun 2006846,204 membersManga StoreVolume 1$10.99Preview	8.65
74	Fate/stay night Movie: Heaven's Feel - III. Spring SongMovie (1 eps)Aug 2020 - Aug 2020362,364 members	8.65
75	Bungou Stray Dogs 5th SeasonTV (11 eps)Jul 2023 - Sep 2023200,087 membersManga StoreVolume 1$6.99Preview	8.64
76	Shigatsu wa Kimi no UsoTV (22 eps)Oct 2014 - Mar 20152,255,080 membersManga StoreVolume 1$10.99Preview	8.64
77	Made in AbyssTV (13 eps)Jul 2017 - Sep 20171,417,784 members	8.64
78	Natsume Yuujinchou ShiTV (13 eps)Jan 2012 - Mar 2012249,401 members	8.64
79	Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai ZunousenTV (12 eps)Apr 2020 - Jun 20201,375,889 members	8.63
80	Shiguang Dailiren IIONA (12 eps)Jul 2023 - Sep 2023121,282 members	8.63
81	Shingeki no Kyojin Season 3TV (12 eps)Jul 2018 - Oct 20182,426,527 membersManga StoreVolume 1$10.99Preview	8.63
82	Tengen Toppa Gurren LagannTV (27 eps)Apr 2007 - Sep 20071,641,288 members	8.63
83	"""Oshi no Ko""TV (11 eps)Apr 2023 - Jun 2023858,790 members"	8.62
84	Death NoteTV (37 eps)Oct 2006 - Jun 20073,977,997 members	8.62
85	Haikyuu!! Second SeasonTV (25 eps)Oct 2015 - Mar 20161,461,203 members	8.62
86	Made in Abyss: Retsujitsu no OugonkyouTV (12 eps)Jul 2022 - Sep 2022466,184 members	8.62
87	Ping Pong the AnimationTV (11 eps)Apr 2014 - Jun 2014403,282 members	8.62
88	Made in Abyss Movie 3: Fukaki Tamashii no ReimeiMovie (1 eps)Jan 2020 - Jan 2020479,558 members	8.61
89	Natsume Yuujinchou RokuTV (11 eps)Apr 2017 - Jun 2017189,981 members	8.61
90	Dungeon MeshiTV (24 eps)Jan 2024 - Jun 2024364,081 membersManga StoreVolume 1$6.99Preview	8.61
91	Cyberpunk: EdgerunnersONA (10 eps)Sep 2022 - Sep 2022806,750 members	8.6
92	Hajime no Ippo: RisingTV (25 eps)Oct 2013 - Mar 2014267,866 members	8.6
93	Suzumiya Haruhi no ShoushitsuMovie (1 eps)Feb 2010 - Feb 2010618,481 membersManga StoreThe Melancholy of Haruhi Suzumiya (light novel)$9.99Preview	8.6
94	Kimi ni Todoke 3rd SeasonONA (5 eps)Aug 2024 - Aug 202466,017 members	8.6
95	Jujutsu KaisenTV (24 eps)Oct 2020 - Mar 20212,652,009 members	8.59
96	Kenpuu Denki BerserkTV (25 eps)Oct 1997 - Apr 1998683,273 members	8.59
97	Mushishi Zoku Shou: Suzu no ShizukuMovie (1 eps)May 2015 - May 2015131,295 membersManga StoreVolume 1$10.99Preview	8.59
98	Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo MinaiMovie (1 eps)Jun 2019 - Jun 2019731,763 membersManga StoreVolume 1$7.99Preview	8.59
99	Shin Evangelion Movie:||Movie (1 eps)Mar 2021 - Mar 2021385,255 members	8.59
100	Tengen Toppa Gurren Lagann Movie 2: Lagann-henMovie (1 eps)Apr 2009 - Apr 2009221,498 members	8.58
